doc,relevance
Aktualisiert_Stundenplan_MMDS_HWS2023.pdf,1
Antrag_Anerkennung_B.Sc.Wifo_Stand_2023.pdf,1
Appendix_M.Sc._Wifo_2023_24_09012024.pdf,1
Bescheinigung_MMM_Englisch_de.pdf,0
Flyer_Lehramt_Gymnasium_Uni_MA.pdf,1
Formular_Berufstaetigkeit_Employment_Verification_Form.pdf,1
Formular_Berufstaetigkeit_der_Eltern_Employment_Verification_Form_for_parents.pdf,1
Infografik_Aufbau_BEd_Lehramt_Gymnasium.pdf,1
MK_BEd_Informatik_2023_24.pdf,1
MK_BSc_Wifo_2023_24.pdf,1
MK_LAG_Mathe_2019_20.pdf,1
MK_MEd_Erweiterungsfach_Mathematik_2023_24.pdf,1
MK_MEd_Informatik_2019_20.pdf,1
Merkblatt_Sprachnachweise_Lehramt_Gymnasium.pdf,1
PO_82_276_H_2008.pdf,1
PO_88_105_H_2021.pdf,1
PO_88_278_H_2017.pdf,1
PO_88_278_H_2020.pdf,1
PO_MA_PolSci_Soc_2023_en.pdf,0
PO_MA_Sowi_PolSci_Soc_2017_en.pdf,0
PO_MA_Sowi_PolSci_Soc_2017_neu_2019_en.pdf,0
PO_MSc_MMDS_2017_2Satzung_EN.pdf,1
Studium_Studienangebot_B.Ed._Deutsch_Stundenplan_EN.pdf,0
Stundenplan_LAG_HWS22_Sem05_27092022.pdf,1
Stundenplan_Wima_FSS23_Wahlpflichtveranstaltungen.pdf,1
Stundenplan_Wima_HWS23_Wahlpflichtveranstaltungen.pdf,1
ZulImmaO_2019_en.pdf,1
fertig_Stundenplan_Wima_HWS23_Sem01.pdf,1
info_bsc.pdf,1
satzung_ba_cells.pdf,0
satzung_ba_germanistik.pdf,0
satzung_ba_kuwi_anglistik.pdf,0
satzung_ba_kuwi_philosophie.pdf,0
satzung_ba_vwl.pdf,0
satzung_ba_wifo.pdf,1
satzung_ba_wima.pdf,1
satzung_bed_lagpolitik.pdf,0
satzung_bed_lagspanisch.pdf,0
satzung_ma_accounting.pdf,0
satzung_ma_geschichte.pdf,0
satzung_ma_kuwi_mkw.pdf,0
satzung_ma_llm.pdf,0
satzung_ma_mcbl_en.pdf,0
satzung_ma_mkw.pdf,0
satzung_ma_psychologie.pdf,0
satzung_ma_soziologie_en.pdf,0
satzung_ma_sprachekommunikation.pdf,0
satzung_ma_taxation.pdf,0
satzung_ma_wifo_en.pdf,1
unbedenklichkeitsbescheinigung_en.pdf,1
